Name,Adjusted Character,Attributes,Class,Crit (Lv. 120),E.Atk (Lv. 120),E.Def (Lv. 120),GL Score,GL Tier,HP (Lv. 120),Influence,Japanese Name,Job,Location,P.Atk (Lv. 120),P.Def (Lv. 120),SP (Lv. 120),Spd (Lv. 120)
Neha,No,"Character%20List/Fan%2029.png, Character%20List/Ice%2032.png, Character%20List/Dark%2031.png",⭐️⭐️⭐️⭐️⭐️,297,482,387,"6,75",B (6.99 - 6.00),3596,Domination,ネーハ,Dancer,Memoir Logs,280,275,639,422
Dark Knight,No,"Character%20List/Sword%2012.png, Character%20List/Dark%2011.png",⭐️⭐️⭐️⭐️⭐️,388,282,316,"9,8",S+ (10.00 - 9.50),4052,Power,黒の騎士,Warrior,Memoir,534,418,386,320
Setzer,Unreleased in GL,"Character%20List/Bow%2036.png, Character%20List/Fire%2063.png, Character%20List/Wind%2050.png, Character%20List/Light%2058.png, Character%20List/Dark%2051.png",⭐️⭐️⭐️⭐️⭐️,470,240,288,,,3912,Opulence,セッツァー,Hunter,Memoir,502,288,466,380
Narr,,"Character%20List/Bow%2026.png, Character%20List/Dark%2030.png",⭐️⭐️⭐️⭐️,311,440,464,,,3512,Wealth,ナール,Hunter,Valore,316,332,502,346
Canary,Yes,"Character%20List/Dagger%208.png, Character%20List/Fire%209.png",⭐️⭐️⭐️⭐️⭐️,388,326,298,"9,13",S (9.49 - 8.50),3692,Wealth,カナリィ,Thief,Grandport,393,285,422,535
Harry,,"Character%20List/Fan%2016.png, Character%20List/Fire%2026.png",⭐️⭐️⭐️,317,447,392,,,3596,Wealth,ハリー,Dancer,Sunshade,305,295,554,407
Nanna,,"Character%20List/Sword%2035.png, Character%20List/Dark%2029.png",⭐️⭐️⭐️,373,307,316,,,4022,Power,ナンナ,Warrior,Sunshade,454,398,361,320
Carroll,,"Character%20List/Spear_Polearm%204.png, Character%20List/Wind%206.png",⭐️⭐️⭐️,286,340,350,,,4350,Power,キャロル,Merchant,Rippletide,414,393,407,260
Juan,,"Character%20List/Spear_Polearm%2015.png, Character%20List/Dark%2026.png",⭐️⭐️⭐️,286,330,330,,,4370,Fame,フアン,Merchant,Sheperd's Rock,424,413,397,260
Sigrid,,"Character%20List/Sword%2055.png, Character%20List/Lightning_Thunder%2041.png",⭐️⭐️⭐️⭐️,373,297,290,,,4030,Power,ジークリット,Warrior,Sheperd's Rock,459,395,366,331
Conny,,"Character%20List/Spear_Polearm%207.png, Character%20List/Lightning_Thunder%203.png",⭐️⭐️⭐️,286,338,335,,,4360,Wealth,コニー,Merchant,Rippletide,416,398,402,270
Mabel,,"Character%20List/Fan%2023.png, Character%20List/Lightning_Thunder%2022.png",⭐️⭐️⭐️⭐️,307,442,392,,,3590,Power,メイベル,Dancer,Sheperd's Rock,300,296,559,409
Dark Priestess,No,Character%20List/Dark%2012.png,⭐️⭐️⭐️⭐️⭐️,327,552,372,"8,79",S (9.49 - 8.50),3496,Fame,黒の巫女,Dancer,Memoir,275,285,584,437
Menny,No,"Character%20List/Sword%2032.png, Character%20List/Light%2038.png",⭐️⭐️⭐️,373,302,301,,,3032,Wealth,メニー,Warrior,Sheperd's Rock,459,403,356,330
Trish,,"Character%20List/Sword%2060.png, Character%20List/Wind%2063.png",⭐️⭐️⭐️⭐️,364,319,306,,,4015,Wealth,トリッシュ,Warrior,Rippletide,451,398,362,317
Rodion,,"Character%20List/Axe%2034.png, Character%20List/Dark%2047.png",⭐️⭐️⭐️⭐️,271,359,268,,,4065,Fame,ロディオン,Apothecary,Emberglow,405,442,453,324
Kurtz,No,"Character%20List/Dagger%2021.png, Character%20List/Wind%2023.png",⭐️⭐️⭐️⭐️,385,296,315,,,3712,Wealth,カルツ,Thief,Theatropolis,418,308,397,468
Heinz,,"Character%20List/Tome%2015.png, Character%20List/Dark%2023.png",⭐️⭐️⭐️⭐️,275,414,393,,,3585,Wealth,ハインツ,Scholar,Cragspear,300,346,634,323
Meena,,"Character%20List/Fan%2026.png, Character%20List/Light%2037.png",⭐️⭐️⭐️⭐️,300,446,389,,,3606,Fame,ミーナ,Dancer,Clearbrook,292,285,563,417
Sunny,,"Character%20List/Bow%2037.png, Character%20List/Dark%2055.png",⭐️⭐️⭐️,385,245,268,,,3052,Wealth,サニー,Hunter,Valore,372,226,376,340
Saria,,"Character%20List/Axe%2035.png, Character%20List/Ice%2043.png",⭐️⭐️⭐️,288,371,283,,,4030,Power,サーリア,Apothecary,Sheperd's Rock,390,437,463,331
Bertrand,,"Character%20List/Bow%203.png, Character%20List/Lightning_Thunder%201.png",⭐️⭐️⭐️⭐️,443,307,281,,,3872,Wealth,ベルトラン,Hunter,Cragspear,429,268,463,385
Penny,No,"Character%20List/Axe%2029.png, Character%20List/Lightning_Thunder%2031.png",⭐️⭐️⭐️,278,366,288,,,4040,Wealth,ペニー,Apothecary,Clearbrook,395,442,458,331
Yugo,,"Character%20List/Sword%2063.png, Character%20List/Ice%2053.png",⭐️⭐️⭐️,373,297,296,,,4042,Fame,ウーゴ,Warrior,Clearbrook,464,418,351,320
Telly,,"Character%20List/Staff_Staves%2032.png, Character%20List/Ice%2047.png",⭐️⭐️⭐️,318,415,464,,,3512,Wealth,テリー,Cleric,Emberglow,321,332,500,346
Jorge,No,"Character%20List/Axe%2017.png, Character%20List/Fire%2030.png",⭐️⭐️⭐️,278,361,273,,,4070,Fame,ホルヘ,Apothecary,Sunshade,400,447,453,331
Pearl,,"Character%20List/Staff_Staves%2024.png, Character%20List/Fire%2052.png",⭐️⭐️⭐️,318,420,469,,,3502,Power,パール,Cleric,Clearbrook,316,327,495,356
Noelle,,"Character%20List/Tome%2033.png, Character%20List/Wind%2036.png",⭐️⭐️⭐️⭐️,280,469,382,,,3555,Fame,ノエル,Scholar,Valore,294,337,646,338
Ashlan,,"Character%20List/Bow%202.png, Character%20List/Dark%203.png",⭐️⭐️⭐️⭐️,432,285,283,,,3905,Fame,アシラン,Hunter,Sheperd's Rock,422,271,452,412
Cerna,,"Character%20List/Spear_Polearm%206.png, Character%20List/Dark%2010.png",⭐️⭐️⭐️⭐️,286,273,280,,,3381,Wealth,チェルナ,Merchant,Donescu,366,357,319,216
Lucetta,,"Character%20List/Bow%2023.png, Character%20List/Ice%2028.png",⭐️⭐️⭐️⭐️,452,288,278,,,3855,Power,ルーセッタ,Hunter,Valore,422,273,471,404
Manuel,,"Character%20List/Fan%2025.png, Character%20List/Wind%2030.png",⭐️⭐️⭐️,272,377,337,,,2806,Fame,マヌエル,Dancer,Valore,260,250,479,342
José,,"Character%20List/Staff_Staves%2011.png, Character%20List/Light%2029.png",⭐️⭐️⭐️,318,410,459,,,3522,Fame,ホセ,Cleric,Cragspear,326,347,485,346
Camilla,,"Character%20List/Bow%204.png, Character%20List/Fire%208.png",⭐️⭐️⭐️⭐️,443,290,298,,,3892,Wealth,カミラ,Hunter,Theatropolis,415,288,451,383
Evelyn,,"Character%20List/Fan%2010.png, Character%20List/Dark%2019.png",⭐️⭐️⭐️,307,452,397,,,3586,Power,イヴリン,Dancer,Cragspear,300,290,559,417
Eunice,,"Character%20List/Tome%2011.png, Character%20List/Light%2022.png",⭐️⭐️⭐️,286,434,390,,,3546,Power,ユニス,Scholar,Theatropolis,296,341,647,333
Efrain,,"Character%20List/Staff_Staves%205.png, Character%20List/Fire%2018.png",⭐️⭐️⭐️⭐️,323,400,419,,,3527,Power,エフレン,Cleric,Sunshade,386,322,475,341
Paula,,"Character%20List/Fan%2032.png, Character%20List/Dark%2039.png",⭐️⭐️⭐️⭐️,312,452,382,,,3596,Power,ポーラ,Dancer,Victors Hollow,295,295,559,412
Leon,No,"Character%20List/Spear_Polearm%2018.png, Character%20List/Staff_Staves%2012.png",⭐️⭐️⭐️⭐️⭐️,281,290,335,7,A (8.49 - 7.00),4180,Wealth,レオン,Merchant,Grandport,509,398,462,270
Helga,,"Character%20List/Spear_Polearm%2013.png, Character%20List/Ice%2016.png",⭐️⭐️⭐️⭐️,286,328,344,,,4364,Power,ヘルガ,Merchant,Cragspear,417,400,397,258
Wingate,,"Character%20List/Dagger%2045.png, Character%20List/Dark%2060.png",⭐️⭐️⭐️⭐️,348,258,251,,,2882,Wealth,ウィンゲート,Thief,Theatropolis,355,280,322,410
Cless,,"Character%20List/Dagger%209.png, Character%20List/Lightning_Thunder%202.png",⭐️⭐️⭐️⭐️,383,291,294,,,3752,Fame,クレス,Thief,Emberglow,433,303,398,470
Devin,No,"Character%20List/Spear_Polearm%208.png, Character%20List/Wind%2011.png",⭐️⭐️⭐️⭐️,296,334,333,,,4360,Wealth,デヴィン,Merchant,Valore,416,393,406,252
Vivian,,"Character%20List/Bow%2039.png, Character%20List/Light%2066.png",⭐️⭐️⭐️,450,300,293,,,3862,Power,ビビアン,Hunter,Valore,422,273,471,390
Kenneth,,"Character%20List/Tome%2020.png, Character%20List/Ice%2022.png",⭐️⭐️⭐️⭐️,226,349,340,,,2896,Wealth,ケネス,Scholar,Clearbrook,246,296,552,288
Pia,,"Character%20List/Spear_Polearm%2029.png, Character%20List/Light%2051.png",⭐️⭐️⭐️⭐️,276,330,330,,,4350,Fame,ピア,Merchant,Sunshade,414,398,421,260
Brigitte,,Character%20List/Staff_Staves%202.png,⭐️⭐️⭐️⭐️,313,425,434,,,3512,Wealth,ブリジット,Cleric,Cathedral of Thytos,306,324,490,381
Durand,,"Character%20List/Dagger%2011.png, Character%20List/Light%2016.png",⭐️⭐️⭐️⭐️,398,296,298,,,3607,Fame,デュラン,Thief,Rippletide,433,300,402,470
Guti,,"Character%20List/Bow%2012.png, Character%20List/Wind%2016.png",⭐️⭐️⭐️,450,290,283,,,3882,Fame,グティ,Hunter,Emberglow,432,293,451,390
Barrad,,"Character%20List/Spear_Polearm%202.png, Character%20List/Fire%207.png",⭐️⭐️⭐️⭐️,281,335,325,,,4370,Power,バラッド,Merchant,Rippletide,431,398,402,255
Tatloch,Yes,"Character%20List/Fan%2038.png, Character%20List/Sword%2058.png, Character%20List/Spear_Polearm%2036.png, Character%20List/Axe%2043.png, Character%20List/Staff_Staves%2031.png, Character%20List/Wind%2056.png",⭐️⭐️⭐️⭐️⭐️,297,467,307,"7,14",A (8.49 - 7.00),4056,Power,タトゥロック,Dancer,Memoir,465,275,494,357
Shelby,,"Character%20List/Axe%2037.png, Character%20List/Ice%2044.png",⭐️⭐️⭐️⭐️,278,366,283,,,4040,Wealth,シェルビー,Apothecary,Emberglow,390,437,458,331
Jorn,,"Character%20List/Sword%2026.png, Character%20List/Dark%2025.png",⭐️⭐️⭐️⭐️,391,270,286,,,4027,Wealth,ヨルン,Warrior,Donescu,485,398,361,315
Cornelia,,"Character%20List/Axe%207.png, Character%20List/Lightning_Thunder%204.png",⭐️⭐️⭐️⭐️,273,366,283,,,4030,Power,コルネリア,Apothecary,Flamesgrace,385,432,473,336
Billy,,"Character%20List/Dagger%207.png, Character%20List/Light%207.png",⭐️⭐️⭐️,398,301,308,,,3712,Wealth,ビリー,Thief,Cragspear,423,305,402,475
Felline,,"Character%20List/Dagger%2015.png, Character%20List/Lightning_Thunder%2010.png",⭐️⭐️⭐️,388,306,323,,,3702,Power,フェリーネ,Thief,Emberglow,428,300,407,475
Bargello,No,"Character%20List/Dagger%206.png, Character%20List/Wind%205.png",⭐️⭐️⭐️⭐️⭐️,418,291,308,"8,44",A (8.49 - 7.00),3752,Wealth,バルジェロ,Thief,Memoir,488,295,412,445
Diego,,"Character%20List/Dagger%2010.png, Character%20List/Fire%2013.png",⭐️⭐️⭐️,388,296,303,,,3722,Fame,ディエゴ,Thief,Theatropolis,428,320,397,475
