Name,Adjusted Character,Attributes,Blessing of the Lantern,BotL Date in GL,BotL Date in JP,BotL Lv.2 Date in JP,BotL Lv.2 in JP,Class,Class Breakthrough,Class Breakthrough Date in GL,Class Breakthrough Date in JP,Continent,Crit,Crit (Lv. 120),E.Atk,E.Atk (Lv. 120),E.Def,E.Def (Lv. 120),GL Release Date,GL Score,GL Tier,General pool,HP,HP (Lv. 120),Influence,JP Release Date,JP Tier,JP game8 Score,Japanese Name,Job,Location,Obtained from,Overcharge,Overcharge Date in GL,Overcharge Date in JP,P.Atk,P.Atk (Lv. 120),P.Def,P.Def (Lv. 120),SP,SP (Lv. 120),Spd,Spd (Lv. 120),Weakness to hit
Ditraina,No,"Character%20List/Tome%2016.png, Character%20List/Light%2023.png, Character%20List/Dark%2014.png",Available in GL,20 de marzo de 2025,22 de junio de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,2 de octubre de 2025,1 de agosto de 2024,Orsterra,341,391,474,539,305,355,5 de junio de 2024,"6,63",B (6.99 - 6.00),Never,2726,3386,Power,1 de junio de 2023,C | 9.4-9.3,"9,3",ディトレイナ,Scholar,Valore,Sacred Blaze Guidance,Unavailable,,,221,271,246,296,550,640,273,323,"Dark, Light, Tome"
Mydia,No,"Character%20List/Staff_Staves%2013.png, Character%20List/Fire%2027.png, Character%20List/Light%2024.png",Available in GL,1 de enero de 2026,7 de noviembre de 2024,23 de octubre de 2025,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in GL,1 de enero de 2026,7 de noviembre de 2024,Solistia,273,308,260,325,369,434,1 de enero de 2026,"9,4",S (9.49 - 8.50),Never,2862,3602,Approval,7 de noviembre de 2024,S | 9.8,"9,8",ミディヤ,Cleric,Memoir Logs,Memoirs of Solistia,Available in GL,1 de enero de 2026,7 de noviembre de 2024,421,471,292,342,420,500,296,346,"Fire, Light, Staff"
Nivelle,Yes,"Character%20List/Tome%2017.png, Character%20List/Lightning_Thunder%2018.png, Character%20List/Fire%2028.png",Available in GL,13 de marzo de 2025,31 de agosto de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,13 de marzo de 2025,31 de enero de 2024,Orsterra,281,331,484,549,293,343,7 de agosto de 2024,"7,67",A (8.49 - 7.00),Never,2761,3421,Power,31 de agosto de 2023,C | 9.4-9.3,"9,3",ニヴェル,Scholar,Sheperd's Rock,Sacred Blaze Guidance,Available in JP,,27 de febrero de 2025,201,251,236,286,577,667,348,398,"Fire, Lightning, Tome"
Isla,Yes,"Character%20List/Tome%2018.png, Character%20List/Fire%2029.png, Character%20List/Lightning_Thunder%2019.png",Available in GL,16 de enero de 2025,12 de octubre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,16 de enero de 2025,12 de octubre de 2023,Orsterra,226,276,414,479,325,375,28 de agosto de 2024,"8,38",A (8.49 - 7.00),Never,2746,3406,Approval,12 de octubre de 2023,C | 9.4-9.3,"9,4",アイラ,Scholar,Memoir,Traveler of Memories,Available in GL,19 de marzo de 2026,6 de marzo de 2025,211,261,281,331,582,672,363,413,"Fire, Lightning, Tome"
Jane,No,Character%20List/Axe%2014.png,Available in GL,1 de mayo de 2025,28 de marzo de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,1 de mayo de 2025,28 de marzo de 2024,Solistia,278,328,271,336,258,308,1 de mayo de 2025,"7,14",A (8.49 - 7.00),Yes,3075,3895,Opulence,28 de marzo de 2024,D | 9.2-9.1,"9,2",ジェイン,Apothecary,Memoir,Chance Encounters,Available in GL,,30 de enero de 2025,420,470,352,402,408,478,271,321,Axe
Sowan,Yes,"Character%20List/Axe%2015.png, Character%20List/Light%2025.png, Character%20List/Dark%2015.png",Available in GL,2 de octubre de 2025,1 de agosto de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,2 de octubre de 2025,1 de agosto de 2024,Solistia,249,299,406,471,238,288,2 de octubre de 2025,"8,67",S (9.49 - 8.50),Never,3200,4020,Domination,1 de agosto de 2024,D | 9.2-9.1,"9,2",ソワン,Apothecary,Memoir Logs,Sacred Blaze Guidance,Available in JP,,27 de febrero de 2025,420,470,272,322,393,463,250,300,"Axe, Dark, Light"
Shana,No,"Character%20List/Axe%2016.png, Character%20List/Lightning_Thunder%2020.png, Character%20List/Wind%2022.png",Available in GL,8 de mayo de 2025,11 de abril de 2024,26 de febrero de 2026,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in GL,8 de mayo de 2025,11 de abril de 2024,Orsterra,198,248,291,356,268,318,8 de mayo de 2025,"9,82",S+ (10.00 - 9.50),Never,2930,3750,Fame,11 de abril de 2024,S+ | 9.9,"9,9",シャナ,Apothecary,Memoir,Traveler of Memories,Available in JP,,20 de febrero de 2025,335,385,372,422,580,650,311,361,"Axe, Lightning, Wind"
Sigrid EX,Yes,"Character%20List/Spear_Polearm%2014.png, Character%20List/Sword%2018.png, Character%20List/Fire%2030.png",Available in GL,1 de enero de 2026,1 de enero de 2025,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,1 de enero de 2026,1 de enero de 2025,Orsterra,328,363,237,287,230,280,1 de enero de 2026,"5,37",C (5.99 - 5.00),Never,3130,4030,Power,31 de diciembre de 2024,F+ | 8.5,"8,5",ジークリットEx,Merchant,Sheperd's Rock,Free (New Year Distribution),Available in GL,1 de enero de 2026,1 de enero de 2025,384,449,335,385,286,366,286,321,"Fire, Polearm, Sword"
Sertet,No,"Character%20List/Bow%2010.png, Character%20List/Wind%2023.png",Available in GL,20 de febrero de 2025,22 de junio de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,7 de agosto de 2025,9 de mayo de 2024,Orsterra,355,420,202,252,243,263,19 de junio de 2024,"4,33",D (4.99 - 4.00),Yes,3082,3902,Power,8 de junio de 2023,F+ | 8.5,"8,5",セルテト,Hunter,Sufrataljah,Chance Encounters,Unavailable,,,422,487,213,263,456,536,345,395,"Bow, Wind"
Bargello EX,No,Character%20List/Fan%2016.png,Available in GL,7 de agosto de 2025,18 de julio de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,7 de agosto de 2025,18 de julio de 2024,Orsterra,282,317,237,302,332,382,7 de agosto de 2025,"7,75",A (8.49 - 7.00),Never,2896,3716,Wealth,18 de julio de 2024,C | 9.4-9.3,"9,4",バルジェロEx,Dancer,Memoir,Nautical Travelers,Available in GL,23 de abril de 2026,7 de agosto de 2025,435,485,245,295,494,564,322,387,Fan
Throné,No,"Character%20List/Dagger%2016.png, Character%20List/Dark%2016.png",Available in GL,27 de febrero de 2025,22 de junio de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,27 de febrero de 2025,22 de noviembre de 2023,Solistia,318,368,281,331,233,283,27 de febrero de 2025,"6,4",B (6.99 - 6.00),Never,2792,3612,Approval,22 de junio de 2023,D | 9.2-9.1,"9,1",ソローネ,Thief,Memoir Logs,Memoirs of Solistia,Unavailable,,,388,453,260,280,327,407,500,565,"Dagger, Dark"
Tatloch EX,No,"Character%20List/Dagger%2017.png, Character%20List/Dark%2017.png",Available in GL,7 de agosto de 2025,18 de julio de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,7 de agosto de 2025,18 de julio de 2024,G'roha,318,368,436,486,272,322,7 de agosto de 2025,"7,5",A (8.49 - 7.00),Never,2892,3712,Power,18 de julio de 2024,C | 9.4-9.3,"9,4",タトゥロックEx,Thief,Memoir,Nautical Travelers,Available in GL,23 de abril de 2026,7 de agosto de 2025,253,318,283,303,422,502,368,433,"Dagger, Dark"
Pirro,No,"Character%20List/Dagger%2018.png, Character%20List/Dark%2018.png",Available in GL,6 de marzo de 2025,6 de julio de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,6 de marzo de 2025,7 de diciembre de 2023,Solistia,333,383,226,276,235,285,6 de marzo de 2025,"6,33",B (6.99 - 6.00),Never,2932,3752,Opulence,6 de julio de 2023,D | 9.2-9.1,"9,2",ピルロ,Thief,Memoir Logs,Memoirs of Solistia,Unavailable,,,444,509,270,290,362,442,405,470,"Dagger, Dark"
Ophilia,No,"Character%20List/Staff_Staves%2014.png, Character%20List/Light%2026.png",Available in GL,23 de enero de 2025,13 de julio de 2023,20 de noviembre de 2025,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in GL,10 de julio de 2025,8 de agosto de 2024,Orsterra,258,293,380,445,399,464,25 de enero de 2023,"6,23",B (6.99 - 6.00),Yes,2757,3497,Fame,28 de octubre de 2021,C | 9.4-9.3,"9,3",オフィーリア,Cleric,Emberglow,Chance Encounters,Available in GL,30 de octubre de 2025,24 de octubre de 2024,251,301,292,342,470,550,291,341,"Light, Staff"
Hujheb,Yes (CN only),Character%20List/Bow%2011.png,Available in GL,22 de mayo de 2025,1 de febrero de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,22 de mayo de 2025,1 de febrero de 2024,Solistia,385,450,200,250,248,268,22 de mayo de 2025,"8,88",S (9.49 - 8.50),Never,3232,4052,Domination,1 de febrero de 2024,B | 9.6-9.5,"9,5",ヒュージブ,Hunter,Memoir Logs,Sacred Blaze Guidance,Unavailable,,,472,537,223,273,416,496,290,340,Bow
Rique,Yes,"Character%20List/Spear_Polearm%2015.png, Character%20List/Wind%2024.png",Available in GL,15 de mayo de 2025,15 de febrero de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,15 de mayo de 2025,15 de febrero de 2024,Orsterra,241,276,350,400,305,355,11 de septiembre de 2024,"7,33",A (8.49 - 7.00),Never,3090,3990,Wealth,15 de febrero de 2024,D | 9.2-9.1,"9,2",リーク,Merchant,Memoir,Traveler of Memories,Available in GL,20 de noviembre de 2025,6 de febrero de 2025,389,454,338,388,352,432,265,300,"Polearm, Wind"
Kilns,Yes,"Character%20List/Bow%2012.png, Character%20List/Lightning_Thunder%2021.png",Available in GL,20 de marzo de 2025,9 de noviembre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,20 de marzo de 2025,9 de noviembre de 2023,Orsterra,395,460,210,260,293,313,3 de octubre de 2024,"9,57",S+ (10.00 - 9.50),Never,3372,4192,Power,9 de noviembre de 2023,B | 9.6-9.5,"9,5",キルン,Hunter,Memoir,Traveler of Memories,Available in GL,6 de noviembre de 2025,23 de enero de 2025,372,437,268,318,371,451,365,415,Bow
Oskha,Yes,"Character%20List/Spear_Polearm%2016.png, Character%20List/Fire%2031.png",Available in GL,12 de junio de 2025,23 de mayo de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,12 de junio de 2025,23 de mayo de 2024,Orsterra,281,316,245,295,285,335,12 de junio de 2025,"8,5",S (9.49 - 8.50),Never,3490,4390,Wealth,23 de mayo de 2024,B | 9.6-9.5,"9,5",オスカ,Merchant,Memoir,Champion of Memories,Available in JP,,24 de octubre de 2024,394,459,353,403,412,492,225,260,"Fire, Polearm"
Ori,Yes,"Character%20List/Spear_Polearm%2017.png, Character%20List/Wind%2025.png",Available in GL,16 de octubre de 2025,26 de septiembre de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,16 de octubre de 2025,26 de septiembre de 2024,Solistia,251,286,360,410,250,300,16 de octubre de 2025,"6,67",B (6.99 - 6.00),Never,3070,3970,Approval,26 de septiembre de 2024,D | 9.2-9.1,"9,2",オリ,Merchant,Memoir Logs,Memoirs of Solistia,Available in JP,,7 de noviembre de 2024,394,459,313,363,332,412,340,375,"Polearm, Wind"
Alrond,Yes,"Character%20List/Spear_Polearm%2018.png, Character%20List/Sword%2019.png, Character%20List/Dagger%2019.png, Character%20List/Axe%2017.png, Character%20List/Bow%2013.png, Character%20List/Staff_Staves%2015.png, Character%20List/Tome%2019.png, Character%20List/Fan%2017.png, Character%20List/Light%2027.png",Available in GL,21 de agosto de 2025,12 de septiembre de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,21 de agosto de 2025,12 de septiembre de 2024,Solistia,246,281,225,275,285,335,21 de agosto de 2025,9,S (9.49 - 8.50),Never,3200,4100,Opulence,12 de septiembre de 2024,B | 9.6-9.5,"9,6",アルロンド,Merchant,Memoir Logs,Memoirs of Solistia,Available in GL,30 de octubre de 2025,7 de noviembre de 2024,344,409,348,398,462,542,325,360,"Axe, Bow, Dagger, Fan, Light, Polearm, Staff, Sword, Tome"
Relisha,No,"Character%20List/Staff_Staves%2016.png, Character%20List/Lightning_Thunder%2022.png",Available in GL,8 de enero de 2026,15 de agosto de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,8 de enero de 2026,15 de agosto de 2024,Solistia,313,348,330,395,322,387,8 de enero de 2026,"5,9",C (5.99 - 5.00),Not yet,2782,3522,Domination,15 de agosto de 2024,D | 9.2-9.1,"9,2",レリーシャ,Cleric,Memoir Logs,Chance Encounters,Available in GL,8 de enero de 2026,7 de noviembre de 2024,386,436,284,334,400,480,296,346,"Lightning, Staff"
Emil,No,"Character%20List/Staff_Staves%2017.png, Character%20List/Tome%2020.png, Character%20List/Dark%2019.png",Available in GL,4 de septiembre de 2025,29 de febrero de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,4 de septiembre de 2025,29 de febrero de 2024,NieR Universe (NieR series),253,288,465,530,334,399,4 de septiembre de 2025,"7,57",A (8.49 - 7.00),Never,2762,3502,Wealth,29 de febrero de 2024,B | 9.6-9.5,"9,5",エミール,Cleric,Memoir,NieR Replicant Crossover Guidance,Available in JP,,28 de noviembre de 2024,226,276,257,307,590,670,286,336,"Dark, Staff, Tome"
Pardis III,No,"Character%20List/Sword%2020.png, Character%20List/Dagger%2020.png, Character%20List/Bow%2014.png, Character%20List/Fire%2032.png, Character%20List/Lightning_Thunder%2023.png, Character%20List/Dark%2020.png",Available in GL,30 de octubre de 2025,10 de octubre de 2024,19 de marzo de 2026,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in GL,30 de octubre de 2025,10 de octubre de 2024,Orsterra,326,376,65,130,305,355,30 de octubre de 2025,"9,83",S+ (10.00 - 9.50),Never,3206,3866,Power,10 de octubre de 2024,A | 9.7,"9,7",パーディス三世,Scholar,Memoir,Champion of Memories,Available in GL,30 de octubre de 2025,24 de octubre de 2024,580,630,351,401,490,580,238,288,"Bow, Dagger, Dark, Fire, Lightning, Sword"
Ochette EX,No,"Character%20List/Sword%2021.png, Character%20List/Polearm.png, Character%20List/Dagger%2021.png, Character%20List/Axe%2018.png, Character%20List/Bow%2015.png, Character%20List/Staff.png, Character%20List/Tome%2021.png, Character%20List/Fan%2018.png, Character%20List/Fire%2033.png, Character%20List/Ice%2018.png, Character%20List/Lightning%201.png",Available in GL,15 de enero de 2026,24 de abril de 2025,5 de febrero de 2026,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in GL,15 de enero de 2026,24 de abril de 2025,Solistia,253,303,247,297,241,291,15 de enero de 2026,"8,44",A (8.49 - 7.00),Never,3082,3902,Opulence,24 de abril de 2025,S | 9.8,"9,8",オーシュットEx,Warrior,Memoir Logs,Memoirs of Solistia,Available in GL,15 de enero de 2026,24 de abril de 2025,429,494,348,413,396,466,335,370,"Axe, Bow, Dagger, Fan, Fire, Ice, Lightning, Polearm, Staff, Sword, Tome"
W’ludai,Yes,"Character%20List/Spear_Polearm%2019.png, Character%20List/Dark%2021.png",Available in GL,13 de febrero de 2025,4 de enero de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,13 de febrero de 2025,4 de enero de 2024,Orsterra,226,261,280,330,260,310,15 de marzo de 2023,"4,8",D (4.99 - 4.00),Yes,3440,4340,Power,11 de noviembre de 2021,F | 8.0,8,ウルダイ,Merchant,I'cirlo,Chance Encounters,Available in GL,30 de abril de 2026,,414,479,318,368,292,372,303,338,"Dark, Polearm"
Sofia,No,"Character%20List/Tome%2022.png, Character%20List/Ice%2019.png",Available in GL,16 de enero de 2025,31 de agosto de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in JP,,18 de julio de 2024,Orsterra,246,296,389,454,335,385,27 de julio de 2022,"4,33",D (4.99 - 4.00),Yes,2896,3556,Wealth,28 de octubre de 2020,F+ | 8.5,"8,5",ソフィア,Scholar,Emberglow,Chance Encounters,Available in JP,,8 de mayo de 2025,231,281,291,341,562,652,283,333,"Ice, Tome"
Oersted,No,"Character%20List/Sword%2022.png, Character%20List/Spear_Polearm%2020.png, Character%20List/Staff_Staves%2018.png, Character%20List/Fire%2034.png, Character%20List/Wind%2026.png, Character%20List/Dark%2022.png",Available in JP,,27 de junio de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in JP,,27 de junio de 2024,Kingdom of Lucrece (Live A Live),333,383,247,297,251,301,26 de junio de 2024,5,C (5.99 - 5.00),Never,3232,4052,Fame,16 de marzo de 2023,E | 9.0,9,オルステッド,Warrior,Memoir,Live A Live Crossover Guidance,Unavailable,,,409,474,338,403,316,386,285,320,"Dark, Fire, Polearm, Staff, Sword, Wind"
Morffins,No,"Character%20List/Axe%2019.png, Character%20List/Ice%2020.png",Available in GL,13 de marzo de 2025,17 de agosto de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,13 de marzo de 2025,18 de enero de 2024,Solistia,238,288,441,506,238,288,13 de marzo de 2025,"4,86",D (4.99 - 4.00),Yes,3220,4040,Approval,17 de agosto de 2023,F+ | 8.5,"8,5",モーフィンス,Apothecary,Memoir Logs,Chance Encounters,Available in JP,,8 de mayo de 2025,295,345,352,402,458,528,231,281,"Axe, Ice"
NieR,No,"Character%20List/Spear_Polearm%2021.png, Character%20List/Sword%2023.png, Character%20List/Dark%2023.png",Available in GL,4 de septiembre de 2025,29 de febrero de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,4 de septiembre de 2025,29 de febrero de 2024,NieR Universe (NieR series),276,311,225,275,295,345,4 de septiembre de 2025,"8,14",A (8.49 - 7.00),Never,3270,4170,Fame,29 de febrero de 2024,A | 9.7,"9,7",ニーア,Merchant,Memoir,NieR Replicant Crossover Guidance,Available in JP,,28 de noviembre de 2024,444,509,293,343,362,442,300,335,"Dark, Polearm, Sword"
Sail,No,"Character%20List/Sword%2024.png, Character%20List/Staff%201.png, Character%20List/Tome%2023.png, Character%20List/Fire%2035.png, Character%20List/Ice%2021.png, Character%20List/Lightning_Thunder%2024.png, Character%20List/Wind%2027.png, Character%20List/Light%2028.png, Character%20List/Dark%2024.png",Available in GL,16 de enero de 2025,22 de junio de 2023,,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in GL,,,Solistia,323,373,269,319,267,317,16 de enero de 2025,"5,3",C (5.99 - 5.00),Never,3232,4052,Domination,22 de junio de 2023,E | 9.0,9,セイル,Warrior,Memoir Logs,Free (Solistia),Available in GL,,,421,486,360,425,306,376,275,310,"Dark, Fire, Ice, Light, Lightning, Staff, Sword, Tome, Wind"
Grieg,No,"Character%20List/Sword%2025.png, Character%20List/Fire%2036.png",Available in GL,20 de marzo de 2025,3 de agosto de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,20 de marzo de 2025,4 de enero de 2024,Solistia,283,333,227,277,301,351,20 de marzo de 2025,"4,6",D (4.99 - 4.00),Yes,3402,4222,Domination,3 de agosto de 2023,D | 9.2-9.1,"9,1",グリーグ,Warrior,Memoir Logs,Chance Encounters,Available in JP,,30 de enero de 2025,424,489,383,448,296,366,225,260,"Fire, Sword"
Kainé,No,"Character%20List/Dagger%2022.png, Character%20List/Light%2029.png",Available in GL,4 de septiembre de 2025,29 de febrero de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,4 de septiembre de 2025,29 de febrero de 2024,NieR Universe (NieR series),368,418,241,291,198,248,4 de septiembre de 2025,"9,25",S (9.49 - 8.50),Never,3252,4072,Power,29 de febrero de 2024,B | 9.6-9.5,"9,6",カイネ,Thief,Memoir,NieR Replicant Crossover Guidance,Available in JP,,28 de noviembre de 2024,508,573,225,245,322,402,330,395,"Dagger, Light"
Hikari,Yes (CN only),"Character%20List/Sword%2026.png, Character%20List/Spear_Polearm%2022.png, Character%20List/Dagger%2023.png, Character%20List/Axe%2020.png, Character%20List/Bow%2016.png, Character%20List/Staff_Staves%2019.png, Character%20List/Tome%2024.png, Character%20List/Fan%2019.png",Available in GL,26 de junio de 2025,1 de enero de 2024,23 de octubre de 2025,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in GL,26 de junio de 2025,1 de enero de 2024,Solistia,303,353,217,267,271,321,26 de junio de 2025,"7,33",A (8.49 - 7.00),Never,3242,4062,Domination,1 de enero de 2024,C | 9.4-9.3,"9,3",ヒカリ,Warrior,Memoir Logs,Memoirs of Solistia,Available in GL,11 de diciembre de 2025,9 de enero de 2025,429,494,358,423,306,376,295,330,"Axe, Bow, Dagger, Fan, Polearm, Staff, Sword, Tome"
Partitio,Yes,"Character%20List/Spear_Polearm%2023.png, Character%20List/Bow%2017.png",Available in GL,16 de enero de 2025,12 de octubre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,16 de enero de 2025,12 de octubre de 2023,Solistia,246,281,235,285,290,340,16 de enero de 2025,"7,29",A (8.49 - 7.00),Never,3400,4300,Opulence,12 de octubre de 2023,D | 9.2-9.1,"9,2",パルテティオ,Merchant,Memoir Logs,Memoirs of Solistia,Unavailable,,,384,449,358,408,402,482,255,290,"Bow, Polearm"
Castti,Yes,Character%20List/Axe%2021.png,Available in GL,26 de junio de 2025,1 de enero de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,26 de junio de 2025,1 de enero de 2024,Solistia,238,288,271,336,303,353,26 de junio de 2025,"7,78",A (8.49 - 7.00),Never,3080,3900,Approval,1 de enero de 2024,B | 9.6-9.5,"9,5",キャスティ,Apothecary,Memoir Logs,Memoirs of Solistia,Available in GL,5 de marzo de 2026,14 de noviembre de 2024,435,485,377,427,388,458,246,296,Axe
Streibough,No,"Character%20List/Tome%2025.png, Character%20List/Fire%2037.png, Character%20List/Ice%2022.png, Character%20List/Lightning_Thunder%2025.png, Character%20List/Wind%2028.png, Character%20List/Dark%2025.png",Available in JP,,27 de junio de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in JP,,27 de junio de 2024,Kingdom of Lucrece (Live A Live),221,271,419,484,335,385,26 de junio de 2024,"4,5",D (4.99 - 4.00),Never,2996,3656,Power,16 de marzo de 2023,C | 9.4-9.3,"9,3",ストレイボウ,Scholar,Memoir,Live A Live Crossover Guidance,Unavailable,,,216,266,276,326,567,657,313,363,"Dark, Fire, Ice, Lightning, Tome, Wind"
Ceraphina,No,"Character%20List/Dark%2026.png, Character%20List/Light%2030.png",Available in GL,30 de octubre de 2025,10 de octubre de 2024,19 de marzo de 2026,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in GL,30 de octubre de 2025,10 de octubre de 2024,Orsterra,213,263,506,571,278,328,30 de octubre de 2025,"7,13",A (8.49 - 7.00),Never,3180,4000,Fame,10 de octubre de 2024,B | 9.6-9.5,"9,5",セラフィナ,Apothecary,Memoir,Champion of Memories,Available in GL,30 de octubre de 2025,24 de octubre de 2024,235,285,332,382,418,488,291,341,"Dark, Light"
Osvald EX,No,"Character%20List/Dark%2027.png, Character%20List/Light%2031.png",Available in GL,15 de enero de 2026,24 de abril de 2025,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,15 de enero de 2026,24 de abril de 2025,Solistia,233,268,495,560,409,474,15 de enero de 2026,"8,08",A (8.49 - 7.00),Never,2712,3452,Domination,24 de abril de 2025,A | 9.7,"9,7",オズバルドEx,Cleric,Memoir Logs,Memoirs of Solistia,Available in GL,15 de enero de 2026,24 de abril de 2025,231,281,232,282,470,550,276,326,"Dark, Light"
Gilderoy,No,"Character%20List/Spear_Polearm%2024.png, Character%20List/Lightning_Thunder%2026.png",Available in GL,16 de enero de 2025,4 de agosto de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,24 de julio de 2025,12 de septiembre de 2024,Orsterra,251,286,280,330,300,350,27 de julio de 2022,"4,29",D (4.99 - 4.00),Yes,3528,4428,Power,28 de octubre de 2020,D | 9.2-9.1,"9,1",ギルデロイ,Merchant,Clearbrook,Chance Encounters,Available in JP,,16 de enero de 2025,354,419,363,413,322,402,208,243,"Lightning, Polearm"
Theo,No,"Character%20List/Axe%2022.png, Character%20List/Lightning_Thunder%2027.png",Available in GL,16 de enero de 2025,17 de agosto de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,16 de enero de 2025,29 de febrero de 2024,Orsterra,208,258,306,371,238,288,27 de julio de 2022,"3,92",E (3.99 - 0.00),Yes,3230,4050,Power,28 de octubre de 2020,E | 9.0,9,テオ,Apothecary,Theatropolis,Chance Encounters,Available in JP,,27 de febrero de 2025,350,400,397,447,418,488,286,336,"Axe, Lightning"
Dolcinaea,No,"Character%20List/Fan%2020.png, Character%20List/Fire%2038.png, Character%20List/Wind%2029.png",Available in GL,18 de septiembre de 2025,28 de abril de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,18 de septiembre de 2025,28 de abril de 2024,Solistia,282,317,482,547,302,352,18 de septiembre de 2025,"6,83",B (6.99 - 6.00),Never,2766,3586,Approval,28 de abril de 2024,D | 9.2-9.1,"9,2",ドルシネア,Dancer,Memoir Logs,Memoirs of Solistia,Available in GL,5 de febrero de 2026,27 de marzo de 2025,240,290,225,275,494,564,352,417,"Fan, Fire, Wind"
Dorothea,Yes,"Character%20List/Spear_Polearm%2025.png, Character%20List/Fire%2039.png",Available in GL,13 de marzo de 2025,31 de agosto de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,13 de marzo de 2025,31 de enero de 2024,Orsterra,261,296,290,340,290,340,8 de febrero de 2023,"6,11",B (6.99 - 6.00),Never,3380,4280,Wealth,23 de enero de 2021,F | 8.0,8,ドロテア,Merchant,Sheperd's Rock,Sacred Blaze Guidance,Unavailable,,,379,444,343,393,332,412,235,270,"Fire, Polearm"
Ringabel,Yes,"Character%20List/Sword%2027.png, Character%20List/Dark%2028.png",Available in GL,3 de abril de 2025,22 de noviembre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,3 de abril de 2025,22 de noviembre de 2023,Luxendarc (BRAVELY DEFAULT),388,438,227,277,256,306,3 de abril de 2025,"7,5",A (8.49 - 7.00),Never,3232,4052,Wealth,22 de noviembre de 2023,C | 9.4-9.3,"9,3",リングアベル,Warrior,Memoir,BRAVELY DEFAULT Crossover Guidance,Available in GL,14 de mayo de 2026,,434,499,348,413,296,366,235,270,"Dark, Sword"
Xerc,No,"Character%20List/Tome%2026.png, Character%20List/Fire%2040.png, Character%20List/Ice%2023.png, Character%20List/Lightning%202.png, Character%20List/Wind%2030.png, Character%20List/Light%2032.png, Character%20List/Dark%2029.png",Available in GL,29 de enero de 2026,,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,29 de enero de 2026,,Orsterra,246,296,464,529,320,370,29 de enero de 2026,"9,79",S+ (10.00 - 9.50),Never,2761,3421,Wealth,,,,セルク,Scholar,Memoir,Traveler of Memories,Available in GL,29 de enero de 2026,,191,241,271,321,572,662,298,348,"Dark, Fire, Ice, Light, Lightning, Tome, Wind"
